gene,cluster,avg_log2FC
AT5G54370,0,4.74736476722413
AT5G60530,0,4.57527174043687
AT1G50060,0,4.45140057997976
AT3G16440,0,4.21713920502339
AT1G52060,0,4.18498070950459
AT1G52050,0,4.17372555538547
AT1G52070,0,4.08621930629875
AT3G19430,0,4.04423403661153
AT5G35735,0,3.95553814299405
AT5G55110,0,3.6433554578745
AT1G06090,0,3.46252069343773
AT1G15385,0,3.40128558791586
AT3G03500,0,3.32463363615623
AT4G27400,0,3.27428315896601
AT1G22880,0,3.16846682202536
AT2G21610,0,3.10140242109996
AT1G05010,0,3.05039859764862
AT5G24070,0,3.03568502584359
AT5G43580,0,2.89975357710784
AT1G17180,0,2.71544319756287
AT4G08555,0,2.58275893610317
AT3G48340,0,2.56932849024901
AT3G04330,0,2.47891282578192
AT1G25275,0,2.47853740721319
AT5G23210,0,2.46098711224351
AT3G25740,0,2.45395952499641
AT1G05560,0,2.43495596757426
AT1G11260,0,2.39784287308388
AT5G16230,0,2.33748515824043
AT1G12740,0,2.21475803307574
AT1G33280,0,2.02957894387723
AT4G25310,0,2.0125924347257
AT3G23050,0,2.08670048753285
AT1G76680,0,2.17505644022543
AT5G20230,0,2.79784046509275
AT3G56170,0,1.96054434272737
AT1G09070,0,2.06213314731301
AT5G57510,0,1.97049938617108
AT1G35780,0,1.76730002475374
AT1G51470,0,4.89309591052885
AT2G36950,0,1.9450230550284
AT2G43610,0,2.08591215483038
AT3G04320,0,1.78021239479664
AT5G14730,0,2.00038859755982
AT1G76600,0,1.92979895275213
AT1G12780,0,1.79726520346836
AT4G21990,0,1.93229472195505
AT5G04970,0,1.70651765409445
AT4G17940,0,1.94264815773932
AT3G53480,0,1.78771176757675
AT5G48180,0,1.73804168515818
AT3G13435,0,1.91952652343679
AT1G36060,0,2.1944726749602
AT5G64310,0,1.44316417519556
AT4G19030,0,1.93704778720799
AT1G32920,0,1.75441244511187
AT2G40095,0,1.67632475112656
AT3G27880,0,1.63862112713631
AT5G08790,0,1.39963813883194
AT3G07390,0,1.71622619328862
AT5G12870,1,3.94639009694197
AT2G45220,1,2.96433112719698
AT3G49780,1,2.73948981330069
AT5G55180,1,2.37063985458113
AT1G21310,1,2.20533836220885
AT1G20450,1,2.17750789311339
AT3G28740,1,2.15901412495216
AT3G28210,1,2.1202180317686
AT1G53470,1,2.11851131885709
AT5G01380,1,2.11606689996372
AT1G05340,1,2.09051396615759
AT4G34050,1,2.08292190234416
AT4G15610,1,2.07041089964331
AT1G76180,1,2.06839233909149
AT5G62520,1,2.06264648069958
